order_id,date,region,category,sales_rep,quantity,unit_price,revenue,returned
1000,2024-04-24,South,Furniture,Bob,1,372.07,372.07,False
1001,2024-03-30,North,Electronics,Bob,19,213.85,4063.15,False
1002,2024-01-28,West,Furniture,Dan,18,103.42,1861.56,False
1003,2024-01-07,East,Office Supplies,Bob,6,350.58,2103.48,False
1004,2024-12-10,North,Office Supplies,Carla,4,50.91,203.64,False
1005,2024-02-14,West,Electronics,Erin,15,270.43,4056.45,False
1006,2025-01-05,North,Electronics,Bob,19,100.18,1903.42,False
1007,2024-03-22,West,Office Supplies,Dan,8,433.91,3471.28,False
1008,2025-01-08,South,Office Supplies,Alice,6,188.24,1129.44,False
1009,2024-06-24,South,Clothing,Dan,18,365.92,6586.56,False
1010,2024-08-12,North,Furniture,Alice,11,422.21,4644.31,False
1011,2025-02-14,East,Furniture,Dan,9,37.76,339.84,False
1012,2025-04-14,South,Office Supplies,Erin,5,136.12,680.6,False
1013,2025-02-12,South,Clothing,Alice,12,113.56,1362.72,False
1014,2024-04-22,West,Electronics,Dan,5,315.59,1577.95,False
1015,2025-04-24,North,Electronics,Erin,17,129.45,2200.65,False
1016,2024-12-14,South,Clothing,Alice,4,150.28,601.12,False
1017,2024-09-26,North,Office Supplies,Erin,17,382.17,6496.89,False
1018,2024-06-05,North,Office Supplies,Dan,12,382.44,4589.28,True
1019,2025-01-06,South,Electronics,Alice,10,123.53,1235.3,False
1020,2024-03-11,South,Clothing,Erin,18,384.09,6913.62,False
1021,2025-06-24,South,Furniture,Carla,20,214.45,4289.0,False
1022,2025-01-17,West,Electronics,Bob,15,450.31,6754.65,False
1023,2024-12-12,South,Furniture,Alice,1,296.21,296.21,True
1024,2024-03-01,North,Office Supplies,Alice,8,38.36,306.88,False
1025,2024-10-12,South,Clothing,Bob,16,111.05,1776.8,False
1026,2025-02-20,West,Office Supplies,Dan,7,51.69,361.83,False
1027,2024-02-25,East,Electronics,Bob,4,35.0,140.0,False
1028,2025-04-04,East,Clothing,Bob,5,213.83,1069.15,False
1029,2024-03-18,North,Electronics,Erin,15,404.97,6074.55,False
1030,2024-04-05,West,Clothing,Bob,8,87.32,698.56,False
1031,2024-03-01,West,Office Supplies,Dan,6,192.59,1155.54,False
1032,2025-05-13,South,Electronics,Erin,5,99.0,495.0,False
1033,2024-03-03,West,Furniture,Alice,11,33.3,366.3,False
1034,2024-03-23,North,Furniture,Dan,6,38.92,233.52,False
1035,2024-09-09,North,Clothing,Erin,19,299.29,5686.51,False
1036,2024-11-19,East,Furniture,Carla,9,106.11,954.99,False
1037,2024-11-03,North,Electronics,Dan,15,161.51,2422.65,False
1038,2024-04-12,East,Furniture,Carla,3,271.13,813.39,False
1039,2024-09-07,West,Office Supplies,Erin,12,146.07,1752.84,False
1040,2025-06-25,East,Electronics,Bob,1,335.59,335.59,False
1041,2024-04-19,East,Furniture,Carla,18,81.95,1475.1,False
1042,2024-09-27,North,Electronics,Dan,17,246.82,4195.94,False
1043,2024-02-15,South,Office Supplies,Bob,1,170.11,170.11,False
1044,2025-03-13,North,Furniture,Erin,18,9.79,176.22,True
1045,2025-01-13,West,Furniture,Alice,19,278.5,5291.5,False
1046,2024-02-10,South,Electronics,Carla,12,108.99,1307.88,False
1047,2025-02-20,South,Furniture,Bob,20,375.99,7519.8,False
1048,2024-01-26,East,Clothing,Bob,6,369.6,2217.6,False
1049,2024-04-20,West,Furniture,Bob,13,436.72,5677.36,False
1050,2025-04-16,South,Furniture,Alice,12,156.07,1872.84,False
1051,2025-02-12,North,Office Supplies,Carla,11,142.91,1572.01,False
1052,2025-02-13,North,Electronics,Carla,18,168.92,3040.56,False
1053,2024-09-28,West,Office Supplies,Carla,2,58.66,117.32,False
1054,2025-06-07,South,Office Supplies,Alice,4,195.67,782.68,False
1055,2024-01-02,South,Office Supplies,Dan,17,463.16,7873.72,True
1056,2024-12-04,North,Office Supplies,Erin,20,160.39,3207.8,False
1057,2025-02-22,East,Furniture,Bob,11,204.19,2246.09,False
1058,2025-01-23,East,Clothing,Erin,6,309.68,1858.08,False
1059,2024-11-07,East,Clothing,Dan,10,109.04,1090.4,False
1060,2024-08-06,South,Electronics,Carla,17,239.23,4066.91,False
1061,2024-12-09,South,Office Supplies,Bob,3,410.12,1230.36,False
1062,2024-05-30,West,Electronics,Dan,1,27.88,27.88,False
1063,2024-07-18,South,Furniture,Alice,13,249.72,3246.36,False
1064,2024-04-19,West,Electronics,Erin,14,113.33,1586.62,False
1065,2024-05-04,West,Office Supplies,Dan,15,71.0,1065.0,False
1066,2025-05-31,West,Furniture,Dan,14,416.13,5825.82,False
1067,2024-09-10,West,Furniture,Carla,9,384.08,3456.72,False
1068,2024-10-19,East,Electronics,Bob,8,139.5,1116.0,False
1069,2025-01-27,North,Clothing,Dan,5,354.68,1773.4,False
1070,2025-04-22,West,Clothing,Erin,14,35.82,501.48,False
1071,2024-01-21,North,Office Supplies,Carla,19,193.29,3672.51,False
1072,2025-03-05,South,Clothing,Bob,18,375.02,6750.36,False
1073,2025-05-12,West,Furniture,Dan,1,197.48,197.48,False
1074,2024-01-28,North,Electronics,Dan,13,297.99,3873.87,False
1075,2025-04-17,West,Office Supplies,Bob,6,29.89,179.34,False
1076,2024-12-11,West,Office Supplies,Alice,13,142.74,1855.62,False
1077,2024-02-23,North,Electronics,Alice,12,115.99,1391.88,False
1078,2024-07-23,South,Furniture,Dan,1,312.56,312.56,False
1079,2024-08-11,East,Furniture,Erin,15,351.24,5268.6,False
1080,2024-04-27,North,Electronics,Carla,6,482.54,2895.24,False
1081,2025-01-19,South,Electronics,Erin,13,471.03,6123.39,False
1082,2024-09-05,East,Electronics,Erin,4,350.11,1400.44,False
1083,2024-12-21,East,Electronics,Erin,18,217.05,3906.9,False
1084,2024-01-13,North,Clothing,Carla,14,412.05,5768.7,False
1085,2025-04-15,East,Clothing,Dan,5,220.57,1102.85,False
1086,2024-10-01,North,Office Supplies,Dan,11,426.6,4692.6,False
1087,2025-04-20,West,Office Supplies,Alice,19,307.11,5835.09,False
1088,2024-11-28,East,Office Supplies,Carla,6,246.34,1478.04,False
1089,2024-10-09,South,Electronics,Bob,18,10.02,180.36,False
1090,2025-05-15,West,Clothing,Dan,18,380.29,6845.22,False
1091,2024-04-05,South,Office Supplies,Erin,10,114.69,1146.9,False
1092,2025-06-27,East,Office Supplies,Dan,12,215.62,2587.44,False
1093,2024-09-14,South,Office Supplies,Alice,8,64.72,517.76,False
1094,2024-07-08,West,Office Supplies,Erin,7,112.11,784.77,False
1095,2025-06-21,North,Furniture,Carla,20,145.08,2901.6,False
1096,2024-07-02,South,Office Supplies,Alice,10,12.0,120.0,False
1097,2024-10-26,West,Electronics,Alice,5,320.75,1603.75,False
1098,2025-04-25,South,Electronics,Carla,16,223.03,3568.48,False
1099,2025-05-04,West,Clothing,Alice,4,411.95,1647.8,False
1100,2024-02-24,East,Electronics,Bob,5,78.85,394.25,False
1101,2025-03-02,South,Clothing,Dan,20,300.08,6001.6,False
1102,2024-10-31,East,Electronics,Erin,19,495.07,9406.33,False
1103,2024-04-11,East,Electronics,Bob,7,314.63,2202.41,False
1104,2024-03-17,West,Clothing,Carla,6,6.32,37.92,True
1105,2024-10-22,West,Electronics,Bob,10,352.98,3529.8,False
1106,2024-07-21,South,Furniture,Carla,14,61.81,865.34,False
1107,2024-03-14,East,Office Supplies,Dan,2,87.13,174.26,False
1108,2024-11-07,West,Clothing,Alice,13,471.62,6131.06,False
1109,2025-03-18,North,Electronics,Bob,11,303.84,3342.24,False
1110,2024-01-22,South,Clothing,Erin,9,290.24,2612.16,False
1111,2024-10-11,West,Clothing,Alice,6,498.49,2990.94,False
1112,2025-02-22,North,Furniture,Carla,11,163.92,1803.12,False
1113,2025-05-22,West,Electronics,Dan,10,332.98,3329.8,False
1114,2024-09-15,West,Electronics,Erin,11,62.38,686.18,False
